Date,Total Stock Market,Communications,Materials,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrial,Technology,Real Estate,Utilities,BioTech,Defense,Semiconductor,Home Construction
2000,1.0,1.0,1.0,0.9772735218749078,1.1226644384632305,0.7063616465987244,1.0,0.974250989967031,0.857417403439101,1.268888130084863,1.0954122941186617,0.5648253272259846,1.2709443493722707,1.2554656725859226,0.8995953349323557,0.8571283090413407
2001,0.8797100382064349,1.0,1.0,0.9347393957710046,1.083282412030344,0.8175699470967334,0.9153472267812373,0.8910047495738486,1.0214058597148425,0.818669510513538,0.8945934154480459,0.76646727245706,0.9007285230180487,0.8699483902498595,0.9917414805610086,1.1273010225584088
2002,0.5420098283704584,1.0,1.0,0.8613965065589849,1.034475964727017,0.6141284747617641,0.5215036500790532,0.7903963640856843,0.9467152868790023,0.8531839000745293,0.7542699888530829,0.618330947961694,0.7990588895048353,0.7122449599072793,0.992610998402877,0.8133998438304019
2003,1.4579537439545724,1.0,1.0,1.320857717672464,1.3534952161450478,1.1376827350392642,1.8095303038898534,1.3188324472600526,1.3741284563218212,1.2581167447045496,1.3185760147528904,1.386754865342289,1.1117334810415942,1.264658473256786,1.1493008774737705,1.3720000609511425
2004,1.0479497632462067,1.0,1.0,1.1301422943784996,1.3012675728416303,1.1827827688368944,0.8573705311055384,1.133788042066348,1.1349251144836794,1.339352092767083,1.1775141382461183,1.056376798925987,1.076454133727125,1.2358586127728701,1.0127301590949316,1.1288067452304653
2005,1.0244162197075082,1.0,1.0,1.057254429184357,1.089513532532308,0.9742311731615775,1.133837807419795,1.0608388105384976,1.0408017253592974,1.4017879738338666,1.0274867935038388,0.9968353128227336,1.0284186314663515,1.163856410838807,1.0641608221425196,0.9342653326765122
2006,1.006744862997036,1.0314551598587212,0.8493182256206834,1.187410471638755,1.3491211784311061,1.3257125391703988,1.0022728427683898,1.1562477413016048,1.1836476694472342,1.180689002652317,1.135158459558847,1.121572278972848,1.144897601797904,1.2089272611269029,1.070513964057337,1.1841199232984687
2007,1.045150749285744,1.276182312464823,0.421141899680624,0.8193705432700735,0.8184874700933603,1.0146723610907904,0.9785133302637186,1.0556622011989938,1.2208552547452565,1.3688837073611573,1.1349320630381339,1.1545699943828234,1.1268627547417671,1.184205957343055,1.0715953632582775,0.8633179506701237
2008,0.8772348121205944,0.6135446137607199,0.5701611382426184,0.49712311629603523,0.6012217758631283,0.5797606267297938,0.4829015365056265,0.6301386623333057,0.5595111598143332,0.6104468501786809,0.6127237934931984,0.5849275263357883,0.8497643948186615,0.7108978445992873,0.7668995592013762,0.6702883778063359
2009,1.15172391528181,1.2532830225167528,1.232653086457916,1.168639072522855,1.3057868811228666,1.26244658460864,1.7494310099790684,1.2880889413645016,1.4815796040171374,1.2176381551913444,1.2203116056536498,1.5132496465485363,1.1427767096876809,1.1170579320756417,1.195187601821485,1.4056909963044
2010,1.1484329804698723,1.1659098064554976,1.1042125780346983,1.1222087756325736,1.2654414204078193,1.206685361486414,1.1364555836583299,1.1725095139156538,1.2055497990921205,1.2177688001522005,1.2782065307169275,1.1139463158781349,1.1377993244902926,1.0530860869600216,1.0329922568383372,1.274623470497651
2011,1.1171507899746445,1.0514924947039097,0.9090265087992873,0.8676024308058498,1.0554522681480651,0.925797972289544,0.8940472816852009,1.0108586099288275,0.8907816397607297,1.028391078073932,0.9890035885958265,1.0261383483044961,1.140867382679206,1.1964011365743425,1.1239681114013966,1.059943351239819
2012,1.3212938331695439,1.138868986373309,1.7934363693173148,1.259174206491664,1.182066332170062,1.1865729040396134,1.0662120992710251,1.1638483122150682,1.1469342006962577,1.0521259371846112,1.149243103952972,1.1529626312271377,1.1072598625078314,1.0103704454333358,1.17371893000998,1.235990099336947
2013,1.6554033732089621,1.5696249421886268,1.1745137444279339,1.3398328043850811,1.0116363339486845,1.2618549095516058,1.4157921004011012,1.3351518772230406,1.2598795221661006,1.2624635581183454,1.405486532429873,1.2624118812706167,1.2630882278274806,1.1306568641745782,1.4140923457839227,1.4273262189576035
2014,1.3383153421701615,1.0989316558524271,1.0464969854111175,1.1417521524064393,1.2669108616854063,1.0068029380339396,1.2985076684449994,1.1255447211698368,1.07182960590555,0.9132177955152757,1.1036577398222942,1.1784240841381135,1.157198193159351,1.2874723588929173,1.2513639937079921,1.0946171380631682
2015,1.1155932247021332,1.041388078951256,1.0506823498727145,0.9961173288760449,1.016165408272681,1.0021611297961959,0.9798145699361976,1.0037245505193202,0.9130669881854944,0.7850182138645809,0.9567662698630898,1.054692502288805,1.068730165866523,0.9507093559799222,1.0683114230205755,1.099028411890594
2016,0.7858267994990898,1.2024954638448364,1.0184015387302658,1.1694134731939239,1.070053954325518,1.227582244957689,1.383440803558736,1.126688992454743,1.1679633301909507,1.2802540564611422,1.2000547817864087,1.150118182160795,1.0498068945109431,1.1607641292454742,0.9723827319428834,1.059689824994792
2017,1.21075900793166,1.3524366581621883,1.5964728751496131,1.1958410512698434,1.093073166077144,0.8814027730016236,1.3978628466271883,1.2116424051200207,1.2401269638195052,0.9911253809985024,1.239792234936682,1.342564458253441,1.1298197973022004,1.1204807561985435,1.2177288845571124,1.2282247026953885
2018,0.904677460740603,0.9278289277543514,0.6908110957475789,0.9061019960236179,0.9566983878346472,0.914102625848891,0.9351145554245599,0.9481670565784681,0.8512255345945359,0.8178238847494812,0.8675260478645762,0.9832278205023497,0.9192885998074906,1.0393520017892948,1.0627998666509941,1.015820126775302
2019,1.2521362111726857,1.3050915985822407,1.4870201342462357,1.3185449862659575,1.2820536216644265,1.1613942232671652,1.6241719493150995,1.3079113247439698,1.2412909316414615,1.117414822091026,1.2908456958752832,1.4985587616715306,1.2743395305415692,1.2593130534795804,1.2045174291146965,1.2838957631532135
2020,1.1013287434025718,0.794997039903757,1.0273476318301273,0.8514916700553635,0.8929338880249993,0.9723422944416189,1.0521979740727851,0.9719628731028788,0.9527580308140162,0.7105893264299804,0.8829531471144237,1.0925083378963634,0.9562231908680745,0.961558352943589,1.009983209283944,1.032172649916209
